id,category,title,description,price,url
1,Tech,Laptop Sleeve,Travel‑Friendly laptop sleeve with ABS housing. active noise cancellation. Bluetooth 5.3.,326.06,https://example.com/tech/laptop-sleeve/1
2,Fashion,Flowy Maxi Dress,Elevated flowy maxi dress in forest vegan leather. slim fit. mother-of-pearl buttons. Available in One size.,220.86,https://example.com/fashion/flowy-maxi-dress/2
3,Home,LED Floor Lamp,Minimalist led floor lamp crafted from bamboo in rose. soft-touch dimmer.,353.39,https://example.com/home/led-floor-lamp/3
4,Fashion,Silk Blouse,Versatile silk blouse in forest merino wool. tailored fit. hidden interior pocket. Available in XS–XL.,165.37,https://example.com/fashion/silk-blouse/4
5,Fashion,Polo Shirt,Compact polo shirt in sand merino wool. boxy cut. breathable weave. Available in S–L.,185.73,https://example.com/fashion/polo-shirt/5
6,Home,Percale Sheet Set,Compact percale sheet set crafted from rattan in sand. tool-free assembly.,331.68,https://example.com/home/percale-sheet-set/6
7,Tech,Smartphone Stand,Elevated smartphone stand with silicone housing. gesture controls. Bluetooth 5.3.,737.35,https://example.com/tech/smartphone-stand/7
8,Home,Percale Sheet Set,Everyday percale sheet set crafted from oak wood in rose. dishwasher safe.,559.8,https://example.com/home/percale-sheet-set/8
9,Home,Throw Blanket,Versatile throw blanket crafted from cast iron in gold. heat-resistant up to 450°F.,120.48,https://example.com/home/throw-blanket/9
10,Home,Cookware Set,Versatile cookware set crafted from stoneware in sand. dishwasher safe.,116.78,https://example.com/home/cookware-set/10
11,Fashion,Silk Blouse,Travel‑Friendly silk blouse in white organic cotton. oversized. breathable weave. Available in 14-inch.,122.43,https://example.com/fashion/silk-blouse/11
12,Fashion,Puffer Jacket,Lightweight puffer jacket in charcoal denim. relaxed fit. double-lined. Available in 14-inch.,89.87,https://example.com/fashion/puffer-jacket/12
13,Tech,USB-C Charger,Travel‑Friendly usb-c charger with nylon housing. up to 20h battery. gesture controls.,677.54,https://example.com/tech/usb-c-charger/13
14,Fashion,Trench Coat,Minimalist trench coat in silver cotton. oversized. removable belt. Available in One size.,228.21,https://example.com/fashion/trench-coat/14
